Formatted Date,Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Temperature (C)
2006-04-01 00:00:00.000 +0200,7.388888889,0.89,14.1197,251,15.8263,1015.13,9.472222222
2006-04-01 01:00:00.000 +0200,7.227777778,0.86,14.2646,259,15.8263,1015.63,9.355555556
2006-04-01 02:00:00.000 +0200,9.377777778,0.89,3.9284,204,14.9569,1015.94,9.377777778
2006-04-01 03:00:00.000 +0200,5.944444444,0.83,14.1036,269,15.8263,1016.41,8.288888889
2006-04-01 04:00:00.000 +0200,6.977777778,0.83,11.0446,259,15.8263,1016.51,8.755555556
2006-04-01 05:00:00.000 +0200,7.111111111,0.85,13.9587,258,14.9569,1016.66,9.222222222
2006-04-01 06:00:00.000 +0200,5.522222222,0.95,12.3648,259,9.982,1016.72,7.733333333
2006-04-01 07:00:00.000 +0200,6.527777778,0.89,14.1519,260,9.982,1016.84,8.772222222
2006-04-01 08:00:00.000 +0200,10.82222222,0.82,11.3183,259,9.982,1017.37,10.82222222
2006-04-01 09:00:00.000 +0200,13.77222222,0.72,12.5258,279,9.982,1017.22,13.77222222
2006-04-01 10:00:00.000 +0200,16.01666667,0.67,17.5651,290,11.2056,1017.42,16.01666667
2006-04-01 11:00:00.000 +0200,17.14444444,0.54,19.7869,316,11.4471,1017.74,17.14444444
2006-04-01 12:00:00.000 +0200,17.8,0.55,21.9443,281,11.27,1017.59,17.8
2006-04-01 13:00:00.000 +0200,17.33333333,0.51,20.6885,289,11.27,1017.48,17.33333333
2006-04-01 14:00:00.000 +0200,18.87777778,0.47,15.3755,262,11.4471,1017.17,18.87777778
2006-04-01 15:00:00.000 +0200,18.91111111,0.46,10.4006,288,11.27,1016.47,18.91111111
2006-04-01 16:00:00.000 +0200,15.38888889,0.6,14.4095,251,11.27,1016.15,15.38888889
2006-04-01 17:00:00.000 +0200,15.55,0.63,11.1573,230,11.4471,1016.17,15.55
2006-04-01 18:00:00.000 +0200,14.25555556,0.69,8.5169,163,11.2056,1015.82,14.25555556
2006-04-01 19:00:00.000 +0200,13.14444444,0.7,7.6314,139,11.2056,1015.83,13.14444444
2006-04-01 20:00:00.000 +0200,11.55,0.77,7.3899,147,11.0285,1015.85,11.55
2006-04-01 21:00:00.000 +0200,11.18333333,0.76,4.9266,160,9.982,1015.77,11.18333333
2006-04-01 22:00:00.000 +0200,10.11666667,0.79,6.6493,163,15.8263,1015.4,10.11666667
2006-04-01 23:00:00.000 +0200,10.2,0.77,3.9284,152,14.9569,1015.51,10.2
